Title, Source, Date, Content, URL, Category
Coronavirus: Staff at PCF cluster were at work while sick; experts urge people to stay home unless 100% well,Straitstimes.com,26/3/2020,SINGAPORE - Infectious disease experts here are urging people to stay home unless they are "100 per cent" well; following news that staff in the coronavirus cluster at PCF Sparkletots Fengshan were at work while sick.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-staff-at-pcf-cluster-were-at-work-while-sick-experts-urge-people-to,Singapore
Billionaires want people back to work; but employees not so sure...,Straitstimes.com,25/3/2020,Billionaires want people back to work; but employees not so sure... (Top headline; 16th story; link ) Related stories: First US child to die from virus diagnosed after death; 'didn't meet test criteria'... Bailout prevents Trump and family from personally ben…,https://www.straitstimes.com/world/united-states/coronavirus-billionaires-want-people-back-to-work-but-their-employees-arent-so,World
All PCF centres to close for 4 days after coronavirus cluster reported at Fengshan Sparkletots pre-school,Straitstimes.com,25/3/2020,SINGAPORE - All 360 centres under PAP Community Foundation (PCF) will close for four days from Thursday (March 26) after 18 Covid-19 cases were found to be linked to its pre-school in Bedok North.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/all-pcf-centres-to-close-for-4-days-after-coronavirus-cluster-reported-at-fengshan,Singapore
Coronavirus: MOM will not extend temporary housing support to Malaysian workers,Straitstimes.com,25/3/2020,SINGAPORE - The Ministry of Manpower (MOM) is urging employers to find longer term accommodation for their Malaysian workers employed in Singapore given that the government will not extend temporary housing support beyond March 31.. Read more at straitstimes.…,https://www.straitstimes.com/singapore/health/coronavirus-mom-will-not-extend-temporary-housing-support-to-malaysian-workers,Singapore
Singapore sends coronavirus test kits to Brunei,Straitstimes.com,25/3/2020,SINGAPORE - The Republic has sent medical supplies to Brunei that will allow doctors there to detect and help contain the coronavirus outbreak.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/singapore-sends-coronavirus-test-kits-to-brunei,Singapore
Presence of a virus on surface does not necessarily mean it is infectious: Experts - The Straits Times,Straitstimes.com,25/3/2020,SINGAPORE - A virus may be detectable on a surface days after a patient leaves behind traces; but this does not necessarily mean it is still infectious; experts say.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/presence-of-a-virus-on-surface-does-not-necessarily-mean-it-is-infectious-experts,Singapore
Singapore working with 6 other countries to maintain supply of essential goods,Straitstimes.com,25/3/2020,The countries - including Australia; Canada; Chile; New Zealand; Myanmar and Brunei - said they will ensure that trade lines remain open.. Read more at straitstimes.com.,https://www.straitstimes.com/business/economy/singapore-working-with-6-other-countries-to-maintain-supply-of-essential-goods,Business
Coronavirus: Singapore scientists on the front lines of fight against Covid-19,Straitstimes.com,24/3/2020,Professor Jackie Ying; who heads the NanoBio Lab at the Agency for Science; Technology and Research (A*Star); and her team have come up with a rapid test that can tell if a person has Covid-19 in as little as five minutes. When approved; this would be about t…,https://www.straitstimes.com/singapore/health/singapore-scientists-on-the-front-lines-of-fight-against-covid-19,Singapore
49 new coronavirus cases in Singapore; of which 32 are from overseas,Straitstimes.com,24/3/2020,SINGAPORE - The Republic has confirmed 49 new coronavirus cases on Tuesday (March 24); as students and workers continued to return home in droves from abroad.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/49-new-coronavirus-cases-in-singapore-of-which-32-are-from-overseas,Singapore
Coronavirus: All entertainment venues in Singapore to close; gatherings outside work and school limited to 10 people,Straitstimes.com,24/3/2020,Bars; cinemas and all other entertainment outlets will be closed from March 26; 11.59pm till April 30.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/all-entertainment-venues-in-singapore-to-close-gatherings-outside-work-and-school,Singapore
