Title, Source, Date, Content, URL, Category, Classification, Relevance
South Korea COVID-19 cases rise steadily; more financial aid expected,Channelnewsasia.com,30/3/2020,South Korea reported 78 new coronavirus cases on Monday; taking the national tally to 9;661; the Korea Centers for Disease Control and Prevention (KCDC) said.,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-south-korea-cases-12588524,World,,0
Nominations open for inaugural Singapore 100 Women in Tech list,Channelnewsasia.com,30/3/2020,SINGAPORE: Nominations are now open for the inaugural Singapore 100 Women in Tech list; it was announced on Monday (Mar 30).,https://www.channelnewsasia.com/news/singapore/singapore-women-in-tech-list-mediacorp-12588542,Singapore,arts; culture and entertainment - cinema - film festival,100
US and China swapping insults; blaming each other for COVID-19 won’t help solve the problem: PM Lee,Channelnewsasia.com,30/3/2020,SINGAPORE: US-China ties were already “complicated” before the COVID-19 pandemic; but the blame game between them over the outbreak will not help "solve the problem sooner"; particularly in a time when countries need to work together; said Singapore Prime Min…,https://www.channelnewsasia.com/news/singapore/covid-19-us-china-lee-hsien-loong-cnn-fareed-zakaria-12588302,Singapore,health - epidemic and plague,100
Toyota says most Europe plants won't restart until April 20 at earliest,Channelnewsasia.com,30/3/2020,Toyota Motor Corp  said on Monday that it would extend a suspension at all of its factories in Europe with the exception of Russia until further notice; with a restart expected no earlier than April 20.,https://www.channelnewsasia.com/news/business/toyota-says-most-europe-plants-won-t-restart-until-april-20-at-earliest-12588496,Business,economy; business and finance - manufacturing and engineering - automotive equipment,100
US and China swapping insults; blaming each other for COVID-19 won’t help solve the problem: PM Lee,Channelnewsasia.com,30/3/2020,SINGAPORE: US-China ties were already “complicated” before the COVID-19 pandemic; but the blame game between them over the outbreak will not help "solve the problem sooner"; particularly in a time when countries need to work together; said Singapore Prime Min…,https://www.channelnewsasia.com/news/singapore/us-and-china-swapping-insults-blaming-each-other-for-covid-19-12588302,Singapore,health - epidemic and plague,100
Qatar Airways says it will need state support as cash runs out,Channelnewsasia.com,30/3/2020,Qatar Airways will have to seek government support eventually; Chief Executive Akbar al-Baker told Reuters on Sunday; warning that the Middle East carrier could soon run out of the cash needed to continue flying.,https://www.channelnewsasia.com/news/business/qatar-airways-says-it-will-need-state-support-as-cash-runs-out-12587596,Business,economy; business and finance - transport - air transport,100
China reports 31 new COVID-19 cases in mainland,Channelnewsasia.com,30/3/2020,Mainland China reported 31 new coronavirus cases on Sunday; including one locally transmitted infection; the country's National Health Commission said; dropping from 45 cases a day earlier.,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-china-cases-deaths-12588326,World,health - disease - virus diseases,100
'No farewells; no ceremonies': China's Hubei cremates coronavirus dead,Channelnewsasia.com,30/3/2020,JINGZHOU; Hubei: Ten unclaimed urns sit in the crematorium in Jingzhou; a city in central China's Hubei province hard-hit by coronavirus. Not only are funerals banned across China; in places like Jingzhou bereaved relatives who are stuck in their homes must w…,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-china-hubei-funeral-cremation-12588282,World,,0
Brazil economy 'can't stop' for coronavirus: Bolsonaro,Channelnewsasia.com,30/3/2020,Brazil's far-right President Jair Bolsonaro on Sunday flouted his government's social distancing guidelines against the spread of the coronavirus by mixing with supporters on the streets of Brasilia and urging them to keep the economy going.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-jair-bolsonaro-brazil-12588308,World,,0
Cruise company still searching for port for virus-stricken ship,Channelnewsasia.com,30/3/2020,Passengers on a virus-stricken cruise liner stranded off Panama in Central America were told Sunday the company was still searching for a port which will allow them to disembark; even as they pleaded for help.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-cruise-ship-panama-holland-america-12588298,World,economy; business and finance - transport - waterway and maritime transport,100
MAS eases monetary policy as economy reels from impact of COVID-19,Channelnewsasia.com,30/3/2020,SINGAPORE: The Monetary Authority of Singapore (MAS) eased monetary policy on Monday (Mar 30); in line with expectations; as the economy reels from the impact of a novel coronavirus pandemic.,https://www.channelnewsasia.com/news/business/mas-eases-monetary-policy-as-economy-reels-from-impact-covid-19-12587788,Business,economy; business and finance - finance (general) - money and monetary policy,100
CPF service centre in Bishan closes temporarily due to COVID-19 case,Channelnewsasia.com,29/3/2020,SINGAPORE: The Central Provident Fund (CPF) Board's Bishan service centre has been temporarily closed for disinfection; the CPF Board said on Monday (Mar 30).,https://www.channelnewsasia.com/news/singapore/coronavirus-covid-19-cpf-service-centre-bishan-12588300,Singapore,sport - soccer,100
'No farewells; no ceremonies': China's Hubei cremates coronavirus dead,Channelnewsasia.com,29/3/2020,JINGZHOU; China: Ten unclaimed urns sit in the crematorium in Jingzhou; a city in central China's Hubei province hard-hit by coronavirus.,https://www.channelnewsasia.com/news/asia/-no-farewells--no-ceremonies---china-s-hubei-cremates-coronavirus-dead-12588282,World,,0
Coronavirus lockdowns give European cities cleaner air,Channelnewsasia.com,29/3/2020,BRUSSELS: Air pollution has decreased in urban areas across Europe during lockdowns to combat the coronavirus; new satellite images showed on Monday (Mar 30); but campaigners warned city-dwellers were still more vulnerable to the epidemic.,https://www.channelnewsasia.com/news/world/coronavirus-lockdowns-european-cities-cleaner-air-12588244,World,health - epidemic and plague,100
Australia curbs gatherings; locks down travellers; in new coronavirus measures,Channelnewsasia.com,29/3/2020,Australia's two most populous states; New South Wales and Victoria; will restrict public gatherings to two people from midnight; state leaders said on Monday; as part of a wave of new measures designed to slow the spread of coronavirus which has infected more…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-australia-lockdown-gatherings-12588252,World,,0
Asian share markets under threat as futures fall early,Channelnewsasia.com,29/3/2020,SYDNEY: Asian share markets looked set for a rocky start on Monday (Mar 30) as US stock futures took an early spill amid fears the global shutdown for the coronavirus could last for months; doing untold harm to economies. E-Mini futures for the S&P 500 skidde…,https://www.channelnewsasia.com/news/business/asian-share-markets-threat-futures-fall-coronavirus-12588278,Business,economy; business and finance - market and exchange - securities,100
Peak US COVID-19 death rate likely in two weeks: Trump,Channelnewsasia.com,29/3/2020,President Donald Trump said Sunday that the peak death rate in the United States from the coronavirus pandemic was likely to hit in two weeks and extended "social distancing" guidelines until April 30.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-donald-trump-united-states-peak-deaths-12588274,World,health - epidemic and plague,100
North Korea says it conducted successful test of multiple rocket launchers,Channelnewsasia.com,29/3/2020,North Korea's latest test of super-large multiple rocket launchers a day earlier was a success; state media said on Monday.,https://www.channelnewsasia.com/news/asia/north-korea-kim-jong-un-missile-launch-rocket-12588260,World,science and technology - technology (general) - rocketry,100
US coronavirus deaths could reach 200;000; Fauci warns,Channelnewsasia.com,29/3/2020,WASHINGTON: US deaths from coronavirus could reach 200;000 with millions of cases; the government's top infectious diseases expert warned on Sunday (Mar 29) as New York; New Orleans and other major cities warned they would soon run out of medical supplies. Dr…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-deaths-united-states-fauci-12587850,World,health - medical research,100
The Big Read: No child’s play when it comes to stamping out bullying in schools,Channelnewsasia.com,29/3/2020,Teachers interviewed say tackling bullying in schools is not so straightforward and their approach may also not always satisfy parents. Not only does bullying come in different forms; it often takes place outside of the classroom; making it difficult to catch…,https://www.channelnewsasia.com/news/singapore/the-big-read-no-child-s-play-when-it-comes-to-stamping-out-12585810,Singapore,education - teaching and learning - teachers,100
Partisan divide returns in US Congress on coronavirus next steps,Channelnewsasia.com,29/3/2020,WASHINGTON: Fresh partisan divisions flared on Sunday (Mar 29) on the next steps for the US Congress in dealing with the coronavirus crisis; with the top House of Representatives Republican casting doubt on the need for more economic stimulus legislation whil…,https://www.channelnewsasia.com/news/world/partisan-divide-returns-in-us-congress-on-coronavirus-next-steps-12587884,World,economy; business and finance - economy (general),100
