Title, Source, Date, Content, URL, Category
Covid-19: State-backed players join pandemic cyber crime attacks - The Star Online,Thestar.com.my,31/3/2020,Network cables are seen going into a server in an office building in Washington; DC. Hades; linked to the APT28 which is believed to be of Russian origin and behind an attack on the US Democrat party in 2016; was the first state-backed group to use the epidem…,https://www.thestar.com.my/tech/tech-news/2020/03/31/covid-19-state-backed-players-join-pandemic-cyber-crime-attacks,World
Only one of the infected in Menara City One linked to tabligh cluster; says condo management,Thestar.com.my,31/3/2020,PETALING JAYA: Only one of the infected people staying at Menara City One condominium tower on Jalan Munshi Abdullah was linked to the Sri Petaling Mosque tabligh cluster; said a spokesman from the Menara City One management company.,https://www.thestar.com.my/news/nation/2020/03/31/only-one-of-the-infected-in-menara-city-one-linked-to-tabligh-cluster-says-condo-management,World
Japan coronavirus infections top 2;000 cases,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Coronavirus infections in Japan topped 2;000 cases on Tuesday; according to a Reuters calculation based on ministry data and media reports.,https://www.thestar.com.my/news/world/2020/03/31/japan-coronavirus-infections-top-2000-cases,World
RM1k fine for anyone venturing out? Fake news,Thestar.com.my,31/3/2020,PETALING JAYA: A commotion at a supermarket; a RM1;000 fine on anyone who leaves their house and a notice supposedly by the Inspector-General of Police (IGP) – these are among the fake news circulating on social media.,https://www.thestar.com.my/news/nation/2020/03/31/rm1k-fine-for-anyone-venturing-out-fake-news,World
MACC to look into allegations of abuse over Sabah's RM100 MCO assistance,Thestar.com.my,31/3/2020,KOTA KINABALU: Graft-busters have set up a task force to look into allegations that the RM100 assistance for groceries for those most affected by the movement control order (MCO) amid the Covid-19 pandemic has been misused.,https://www.thestar.com.my/news/nation/2020/03/31/macc-to-look-into-allegations-of-abuse-over-sabah039s-rm100-mco-assistance,World
Many small retailers expected to close shop soon,Thestar.com.my,31/3/2020,Many small retailers expected to close shop soon thestar.com.my,https://www.thestar.com.my/business/business-news/2020/03/31/many-small-retailers-expected-to-close-shop-soon,World
Japan urges citizens to stay away from a third of the world,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Japan is urging its citizens not to travel to 73 countries and regions; or a third of all countries in the world; Foreign Minister Toshimitsu Motegi said on Tuesday; as the government fights to prevent an explosive surge in coronavirus cases.,https://www.thestar.com.my/news/world/2020/03/31/japan-urges-citizens-to-stay-away-from-a-third-of-the-world,World
Japan PM; Deputy PM to avoid same meetings as precaution vs virus infection,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Japan's prime minister and deputy prime minister will avoid attending the same meeting as a precaution against coronavirus infection; a government spokesman said on Tuesday.,https://www.thestar.com.my/news/world/2020/03/31/japan-pm-deputy-pm-to-avoid-same-meetings-as-precaution-vs-virus-infection,World
Australia's NSW state calls end to brutal fire season,Thestar.com.my,31/3/2020,MELBOURNE (Reuters) - New South Wales; the Australian state most severely affected by last summer's wildfires on Tuesday marked the official close to its worst ever bushfire season; which burned more than 6% of the state's land area and killed 25 people.,https://www.thestar.com.my/news/world/2020/03/31/australia039s-nsw-state-calls-end-to-brutal-fire-season,World
Don't return through border gates till April 15; Myanmar expats told,Thestar.com.my,31/3/2020,YANGON (Xinhua): Myanmar's Foreign Affairs Ministry on Monday (March 30) requested Myanmar expatriates to return to the country through border gates only after April 15 to prevent the spread of Covid-19.,https://www.thestar.com.my/news/regional/2020/03/31/don039t-return-through-border-gates-till-april-15-myanmar-expats-told,World
Tech's shadow workforce sidelined; leaving social media to the machines - The Star Online,Thestar.com.my,31/3/2020,The Covid-19 pandemic has disrupted the sprawling networks of contract workers who keep social-media services running smoothly.,https://www.thestar.com.my/tech/tech-news/2020/03/31/techs-shadow-workforce-sidelined-leaving-social-media-to-the-machines,World
China's factory activity rebounds as work slowly resumes,Thestar.com.my,31/3/2020,BEIJING; (AFP): Factory activity in China rebounded in March from a record low; according to official data released Tuesday (March 31); returning to expansion territory while the coronavirus pandemic continues to devastate the global economy.,https://www.thestar.com.my/news/regional/2020/03/31/china039s-factory-activity-rebounds-as-work-slowly-resumes,Business
Chinese community in US donate medical supplies,Thestar.com.my,31/3/2020,NEW YORK (Xinhua): Chinese Americans and local operations of Chinese companies are working together to donate medical supplies to hospitals; police stations and local residents to ease shortages help fight Covid-19 in the United States.,https://www.thestar.com.my/news/regional/2020/03/31/chinese-community-in-us-donate-medical-supplies,World
Florida megachurch pastor charged with defying coronavirus stay-at-home orders,Thestar.com.my,31/3/2020,(Reuters) - The pastor of a megachurch in Tampa; Florida; was arrested on Monday on charges of holding prayer services in violation of public health orders temporarily banning such gatherings to limit the spread of coronavirus infections; authorities said.,https://www.thestar.com.my/news/world/2020/03/31/florida-megachurch-pastor-charged-with-defying-coronavirus-stay-at-home-orders,World
Mexican coronavirus cases pass 1;000; health ministry says,Thestar.com.my,31/3/2020,MEXICO CITY (Reuters) - Mexico's health ministry on Monday confirmed 1;094 cases of coronavirus in the country; up from 993 the day before.,https://www.thestar.com.my/news/world/2020/03/31/mexican-coronavirus-cases-pass-1000-health-ministry-says,World
South Korea reports 125 new coronavirus cases; total 9;786 - KCDC,Thestar.com.my,31/3/2020,SEOUL (Reuters) - South Korea reported 125 new coronavirus cases on Tuesday; bringing the total number of infections to 9;786; the Korea Centers for Disease Control and Prevention said.,https://www.thestar.com.my/news/world/2020/03/31/south-korea-reports-125-new-coronavirus-cases-total-9786---kcdc,World
What a drag! Self-isolating Aussie queen takes routine online,Thestar.com.my,31/3/2020,SYDNEY (Reuters) - An Australian drag queen has shifted her performances from stage to personal screens during coronavirus lockdown in Sydney to ensure she's not all dressed up with nowhere to go.,https://www.thestar.com.my/news/world/2020/03/31/what-a-drag-self-isolating-aussie-queen-takes-routine-online,World
Chinese firm Fosun delivers medical supplies to Portugal,Thestar.com.my,31/3/2020,LISBON (Xinhua): A batch of medical supplies delivered by China's Fosun Group; including 1 million face masks and 200;000 test kits; arrived in Lisbon from China on Monday (March 30); according to a press release by the company.,https://www.thestar.com.my/news/regional/2020/03/31/chinese-firm-fosun-delivers-medical-supplies-to-portugal,World
