Title, Source, Date, Content, URL, Category, Classification, Relevance
MMC is first private hospital in Negri Sembilan to provide drive-thru Covid-19 testing,Thestar.com.my,30/3/2020,SEREMBAN: The Mawar Medical Centre (MMC) here has become the first private hospital in Negri Sembilan to provide drive-thru Covid-19 testing to reduce the workload of government hospitals.,https://www.thestar.com.my/news/nation/2020/03/30/mmc-is-first-private-hospital-in-negri-sembilan-to-provide-drive-thru-covid-19-testing,World,health - hospital and clinic,100
Singapore eases Singdollar policy as economy braces for recession,Thestar.com.my,30/3/2020,SINGAPORE (The Straits Times/ANN): The Monetary Authority of Singapore (MAS) eased its policy stance on Monday (March 30) by setting the Singapore dollar's rate of appreciation at zero per cent at the prevailing lower level of its exchange rate policy band as…,https://www.thestar.com.my/news/regional/2020/03/30/singapore-eases-singdollar-policy-as-economy-braces-for-recession,Business,economy; business and finance - finance (general) - money and monetary policy,100
Ismail Sabri: Eateries; supermarkets to only operate from 8am to 8pm from April 1,Thestar.com.my,30/3/2020,PUTRAJAYA: Business hours for eateries and supermarkets will be more restricted during the second phase of the movement control order (MCO) which comes into effect on April 1.,https://www.thestar.com.my/news/nation/2020/03/30/ismail-sabri-eateries-supermarkets-to-only-operate-from-8am-to-8pm-from-april-1,World,,0
How a US$100bil South Korean insurer became a penny stock,Thestar.com.my,30/3/2020,INSURERS the world over have been walloped by evaporating investment returns; but those in South Korea have been hit particularly hard. Just consider this: The nation’s second-largest life insurer became a penny stock this month.,https://www.thestar.com.my/business/business-news/2020/03/30/how-a-us100bil-south-korean-insurer-became-a-penny-stock,Business,economy; business and finance - financial and business service - insurance,100
President Duterte to make public address on Covid-19 in Philippines today,Thestar.com.my,30/3/2020,MANILA; March 30 (The Philippine Inquirer/ANN) — President Rodrigo Duterte will address the public on Monday; two weeks since he placed the entire island of Luzon under quarantine to prevent the further spread of the coronavirus disease (Covid-19).,https://www.thestar.com.my/news/regional/2020/03/30/president-duterte-to-make-public-address-on-covid-19-in-philippines-today,World,,0
Thailand reports two new coronavirus deaths; bringing total to nine,Thestar.com.my,30/3/2020,BANGKOK (Reuters) - Thailand's public health ministry said on Monday that two more people have died from the new coronavirus; bringing the total number of deaths in the country to nine.,https://www.thestar.com.my/news/world/2020/03/30/thailand-reports-two-new-coronavirus-deaths-bringing-total-to-nine,World,health,100
Two Vietnam provinces want rice export ban lifted,Thestar.com.my,30/3/2020,,https://www.thestar.com.my/news/regional/2020/03/30/two-vietnam-provinces-want-rice-export-ban-lifted,World,,0
Mexico president visits 'El Chapo's' home turf; shakes hands with his mother,Thestar.com.my,30/3/2020,BADIRAGUATO; Mexico (Reuters) - Mexican President Andres Manuel Lopez Obrador on Sunday shook hands with the mother of the country's most infamous drug trafficker; Joaquin "El Chapo" Guzman; during a visit to their hometown; long a stronghold of the Sinaloa c…,https://www.thestar.com.my/news/world/2020/03/30/mexico-president-visits-039el-chapo039s039-home-turf-shakes-hands-with-his-mother,World,social issue - addiction,100
Private sector's finance; HR employees given one day to work on payroll process,Thestar.com.my,30/3/2020,KUALA LUMPUR (Bernama): The government has decided to allow employees of the finance or human resources division in the private sector to work for just one day to process payroll in accordance with the law.,https://www.thestar.com.my/news/nation/2020/03/30/private-sector039s-finance-hr-employees-given-one-day-to-work-on-payroll-process,Business,politics - government,100
Philippines grounds all Lionair planes after crash killing 8 people,Thestar.com.my,30/3/2020,MANILA; Philippines; March 30 (The Inquirer/ANN) — The Civil Aviation Authority of the Philippines (CAAP) has grounded the entire fleet of aircraft charter service company Lionair Inc. after one of its medical evacuation (Medevac) planes burst into flames dur…,https://www.thestar.com.my/news/regional/2020/03/30/philippines-grounds-all-lionair-planes-after-crash-killing-8-people,World,,0
IGP: Drones to be deployed in Sungai Lui to monitor residents during enhanced MCO,Thestar.com.my,30/3/2020,KAJANG: Drones will be used at the Sungai Lui areas in Hulu Langat; which has been put under the enhanced movement control order; says Inspector-General of Police Tan Sri Abdul Hamid Bador.,https://www.thestar.com.my/news/nation/2020/03/30/igp-drones-to-be-deployed-in-sungai-lui-to-monitor-residents-during-enhanced-mco,World,,0
